@relation train

@attribute att1 numeric
@attribute att2 {False,True}
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 {Centrum,Sołacz,Naramowice,Wilda,Grunwald,Nowe,Starołęka,Winogrady,Rataje,Zawady,Malta,Komandoria,Podolany,Dębiec,Piątkowo,Świerczewo,Jeżyce,Chwaliszewo,Lazarz,Komorniki,Stare,Wilczak,Ogrody,Garbary,Śródka,Bonin,Żegrze,Dąbrowskiego,Plewiska,Górczyn,Winiary,Dolna,Kopernika,Suchy,Lawica,Głuszyna,Szczepankowo,Smochowice,Strzeszyn,Kobylepole,Antoninek,Morasko,Piatkowo,Nadolnik}
@attribute att6 numeric

@data
476118,False,3,1,Centrum,78
459531,False,3,2,Sołacz,62
411557,False,3,0,Sołacz,15
496416,False,4,0,Sołacz,14
406032,False,3,0,Sołacz,15
450026,False,3,1,Naramowice,80
571229.15,False,2,4,Wilda,39
325000,False,3,1,Grunwald,54
268229,False,2,1,Grunwald,90
604836,False,4,5,Grunwald,40
232050,False,3,0,Nowe,41
399406,False,3,2,Wilda,89
305739,False,2,2,Grunwald,53
531976.68,False,4,1,Wilda,38
288465,True,2,1,Starołęka,77
305000,True,3,3,Winogrady,47
410000,True,2,5,Rataje,30
305000,True,3,3,Winogrady,48
289000,True,2,2,Zawady,48
419000,True,2,0,Rataje,56
193000,True,2,5,Malta,37
270000,True,3,4,Rataje,48
360000,True,3,2,Rataje,20
240000,True,2,10,Rataje,36
299000,True,2,4,Nowe,47
298000,True,2,4,Wilda,45
289000,True,2,2,Komandoria,48
300000,True,2,1,Podolany,45
177000,True,2,2,Dębiec,25
404000,True,3,2,Rataje,70
335000,True,3,7,Rataje,63
305000,True,3,3,Winogrady,60
254900,True,2,14,Winogrady,80
348000,True,3,9,Rataje,65
320000,True,3,4,Winogrady,50
284000,True,3,4,Rataje,48
188000,True,2,2,Dębiec,61
477000,True,4,3,Piątkowo,70
390000,True,3,2,Podolany,68
439000,True,3,3,Piątkowo,70
263000,True,2,1,Rataje,44
435000,True,2,0,Świerczewo,60
610000,True,3,6,Centrum,77
714000,True,3,2,Malta,84
295000,True,2,2,Naramowice,58
270000,True,3,10,Nowe,48
259000,True,2,0,Rataje,38
350000,True,3,0,Jeżyce,90
295000,True,2,2,Grunwald,60
338000,True,3,1,Jeżyce,37
420000,True,4,3,Jeżyce,78
565000,True,4,0,Sołacz,90
355000,True,2,3,Nowe,90
330000,True,2,4,Chwaliszewo,56
299000,True,2,16,Rataje,49
270000,True,2,2,Sołacz,49
329000,True,3,3,Jeżyce,45
405000,True,3,2,Rataje,70
270000,True,2,2,Winogrady,49
235000,True,2,6,Winogrady,38
270000,True,2,2,Sołacz,49
365000,True,3,2,Jeżyce,50
325000,True,3,1,Nowe,90
