Temperature,Ice Cream Profits
39,13.17
40,11.88
41,18.82
42,18.65
43,17.02
43,15.88
44,19.07
44,19.57
45,21.62
45,22.34
45,19.23
46,21.25
46,19.81
47,22.12
48,24.22
48,24.68
48,23.78
48,26.41
48,25.01
48,22.29
49,27.81
49,23.54
50,22.89
50,25.68
50,27.29
50,27.64
50,27.31
51,21.93
51,32.18
52,30.67
52,28.05
52,28.82
52,27.87
52,29.39
53,32.60
53,31.62
53,25.71
53,28.48
54,30.09
54,33.58
54,29.75
54,31.94
54,33.71
54,28.37
54,27.41
54,27.99
54,30.37
55,27.68
55,29.53
55,33.91
55,34.19
56,33.22
56,34.47
57,30.89
57,35.80
58,33.44
58,36.79
58,31.56
58,35.13
58,36.11
58,32.39
59,38.18
59,29.69
59,38.47
59,37.74
59,36.71
59,32.29
59,37.50
59,35.33
60,35.06
60,36.25
60,40.25
60,39.69
60,40.95
61,37.96
61,38.10
61,38.21
61,37.30
61,39.53
61,37.42
61,39.42
61,38.16
61,37.66
62,39.04
62,41.44
62,40.19
62,37.93
63,50.17
63,44.15
63,41.58
63,40.59
63,39.17
64,40.57
64,40.28
64,41.21
64,44.85
64,40.94
64,40.14
64,38.57
64,44.07
64,44.10
65,47.36
65,45.38
65,41.09
65,43.78
65,42.72
65,42.10
65,43.28
65,44.31
65,42.71
66,43.03
66,42.16
66,46.74
66,47.68
66,44.48
66,47.52
66,44.98
66,45.07
66,45.42
66,47.36
66,48.26
66,51.75
66,45.05
66,40.65
67,48.65
67,45.26
67,46.04
67,44.85
67,42.94
67,50.62
68,45.65
68,49.37
68,45.89
68,50.74
68,47.17
68,49.60
68,41.68
68,46.90
68,47.35
68,47.73
68,43.73
68,47.47
69,51.38
69,41.74
69,49.88
69,47.78
69,42.50
69,48.77
70,49.46
70,50.87
70,49.12
70,49.95
70,50.31
70,49.32
70,52.67
70,52.05
70,48.82
71,53.33
71,54.59
71,53.77
71,49.60
71,52.17
71,46.74
71,53.04
71,49.34
71,55.04
72,57.18
72,51.26
72,53.78
72,51.55
72,50.01
72,53.59
72,52.47
72,48.96
72,53.57
72,50.79
73,52.13
73,52.42
73,54.67
73,51.82
73,53.21
73,54.40
73,55.01
73,54.08
73,53.97
74,55.28
74,54.36
74,53.62
74,50.65
74,55.52
74,58.61
74,50.64
74,54.28
74,53.95
74,53.44
74,57.10
74,54.26
75,55.34
75,53.71
75,57.84
75,55.91
75,58.62
75,58.85
76,52.84
76,56.59
76,59.43
76,59.69
76,53.83
76,59.41
76,53.17
76,53.48
76,59.94
76,60.31
76,60.33
77,53.82
77,53.07
77,59.48
77,54.10
77,56.33
77,59.87
77,60.75
77,56.43
77,60.86
77,55.07
77,58.39
77,58.72
77,57.52
77,56.33
77,57.47
78,58.13
78,60.46
78,60.33
78,60.89
78,62.58
78,61.22
78,59.62
78,58.31
78,59.12
78,57.93
78,57.25
78,62.20
79,59.70
79,64.82
79,57.06
79,62.52
79,59.93
79,61.71
79,59.49
79,67.42
79,56.34
79,59.69
79,57.44
79,64.63
80,55.47
80,61.22
80,62.79
80,59.91
80,61.59
80,63.46
80,64.45
80,65.42
80,61.82
81,64.36
81,58.11
81,59.47
81,65.86
81,61.52
81,62.12
81,64.23
81,62.36
81,62.32
82,64.97
82,66.15
82,64.02
82,63.41
82,61.85
82,65.49
82,64.39
82,66.06
82,64.86
82,62.85
82,66.57
83,65.54
83,62.58
83,63.29
83,64.38
83,60.78
83,65.66
84,66.61
84,65.12
84,63.13
84,63.35
84,65.40
84,65.41
84,68.28
84,64.10
84,66.26
84,63.63
84,67.58
84,68.54
84,65.20
85,67.93
85,67.88
85,69.71
85,64.22
85,61.82
85,68.28
85,62.99
85,64.96
85,65.99
85,70.30
85,64.31
86,69.59
86,68.35
86,69.66
86,71.46
86,69.90
86,69.19
86,67.97
86,64.85
87,70.43
87,68.48
87,70.29
87,65.19
87,68.00
87,70.64
88,69.67
88,74.69
88,69.78
89,73.16
89,71.51
89,73.32
89,74.09
90,71.12
90,67.58
90,77.39
90,75.11
90,74.80
90,73.94
90,75.94
91,79.31
91,81.81
91,75.58
92,78.20
92,75.60
92,75.04
92,77.41
93,79.76
93,77.18
94,80.94
94,75.70
95,78.20
95,80.75
95,80.97
95,80.98
96,80.02
96,82.83
96,80.95
97,82.50
98,84.12
99,85.13
99,87.08
99,89.29
101,81.91
101,85.02
