flat,badrooms,bathrooms,location,sqm,price
False,3,1,Centrum,78,476118.0
False,3,2,Sołacz,62,459531.0
False,3,0,Sołacz,15,411557.0
False,4,0,Sołacz,14,496416.0
False,3,0,Sołacz,15,406032.0
False,3,1,Naramowice,80,450026.0
False,2,4,Wilda,39,571229.15
False,3,1,Grunwald,54,325000.0
False,2,1,Grunwald,90,268229.0
False,4,5,Grunwald,40,604836.0
False,3,0,Nowe,41,232050.0
False,3,2,Wilda,89,399406.0
False,2,2,Grunwald,53,305739.0
False,4,1,Wilda,38,531976.68
True,2,1,Starołęka,77,288465.0
True,3,3,Winogrady,47,305000.0
True,2,5,Rataje,30,410000.0
True,3,3,Winogrady,48,305000.0
True,2,2,Zawady,48,289000.0
True,2,0,Rataje,56,419000.0
True,2,5,Malta,37,193000.0
True,3,4,Rataje,48,270000.0
True,3,2,Rataje,20,360000.0
True,2,10,Rataje,36,240000.0
True,2,4,Nowe,47,299000.0
True,2,4,Wilda,45,298000.0
True,2,2,Komandoria,48,289000.0
True,2,1,Podolany,45,300000.0
True,2,2,Dębiec,25,177000.0
True,3,2,Rataje,70,404000.0
True,3,7,Rataje,63,335000.0
True,3,3,Winogrady,60,305000.0
True,2,14,Winogrady,80,254900.0
True,3,9,Rataje,65,348000.0
True,3,4,Winogrady,50,320000.0
True,3,4,Rataje,48,284000.0
True,2,2,Dębiec,61,188000.0
True,4,3,Piątkowo,70,477000.0
True,3,2,Podolany,68,390000.0
True,3,3,Piątkowo,70,439000.0
True,2,1,Rataje,44,263000.0
True,2,0,Świerczewo,60,435000.0
True,3,6,Centrum,77,610000.0
True,3,2,Malta,84,714000.0
True,2,2,Naramowice,58,295000.0
True,3,10,Nowe,48,270000.0
True,2,0,Rataje,38,259000.0
True,3,0,Jeżyce,90,350000.0
True,2,2,Grunwald,60,295000.0
True,3,1,Jeżyce,37,338000.0
True,4,3,Jeżyce,78,420000.0
True,4,0,Sołacz,90,565000.0
True,2,3,Nowe,90,355000.0
True,2,4,Chwaliszewo,56,330000.0
True,2,16,Rataje,49,299000.0
True,2,2,Sołacz,49,270000.0
True,3,3,Jeżyce,45,329000.0
True,3,2,Rataje,70,405000.0
True,2,2,Winogrady,49,270000.0
True,2,6,Winogrady,38,235000.0
True,2,2,Sołacz,49,270000.0
True,3,2,Jeżyce,50,365000.0
True,3,1,Nowe,90,325000.0
True,3,16,Rataje,80,340000.0
True,3,2,Rataje,59,329000.0
True,3,4,Dębiec,60,429000.0
True,3,3,Rataje,63,349000.0
True,4,4,Nowe,20,329000.0
True,2,2,Grunwald,46,249000.0
True,2,0,Rataje,40,260000.0
True,2,9,Rataje,38,275000.0
True,2,1,Rataje,44,263000.0
True,2,9,Rataje,49,269000.0
True,3,11,Jeżyce,50,450000.0
True,3,2,Łazarz,80,299000.0
True,4,2,Rataje,62,330000.0
True,3,3,Rataje,48,289000.0
True,4,0,Naramowice,133,750000.0
True,4,3,Grunwald,70,635000.0
True,2,1,Naramowice,60,279000.0
False,3,1,Grunwald,34,399900.0
True,2,1,Winogrady,38,255000.0
True,2,1,Grunwald,36,239000.0
True,2,2,Wilda,50,229000.0
True,3,9,Rataje,65,348000.0
True,4,0,Grunwald,60,384000.0
True,2,1,Starołęka,86,232034.0
